a (a) (Article)
pry (pry,pries,pry's,pries') (Noun)
public (public) (Adjective)
public (public,publics,public's,publics') (Noun)
puff (puff,puffs,puffed,puffing) (Verb)
puff (puff,puffs,puff's,puffs') (Noun)
pull (pull,pulls,pulled,pulling) (Verb)
pull (pull,pulls,pull's,pulls') (Noun)
punch (punch,punches,punched,punching) (Verb)
punch (punch,punches,punch's,punches') (Noun)
punish (punish,punishes,punished,punishing) (Verb)
purchase (purchase,purchases,purchased,purchasing) (Verb)
purchase (purchase,purchases,purchase's,purchases') (Noun)
pure (pure,purer,purest) (Adjective)
purple (purple,purples,purpled,purpling) (Verb)
purple (purple,purpler,purplest) (Adjective)
purple (purple,purples,purple's,purples') (Noun)
purpose (purpose,purposes,purposed,purposing) (Verb)
purpose (purpose,purposes,purpose's,purposes') (Noun)
pursue (pursue,pursues,pursued,pursuing) (Verb)
pursuit (pursuit,pursuits,pursuit's,pursuits') (Noun)
push (push,pushes,pushed,pushing) (Verb)
push (push,pushes,push's,pushes') (Noun)
put (put,puts,putting) (Verb)
put (put) (Adjective)
put (put,puts,put's,puts') (Noun)
putt (putt,putts,putted,putting) (Verb)
putt (putt,putts,putt's,putts') (Noun)
puzzle (puzzle,puzzles,puzzled,puzzling) (Verb)
puzzle (puzzle,puzzles,puzzle's,puzzles') (Noun)
quality (quality) (Adjective)
quality (quality,qualities,quality's,qualities') (Noun)
quarrel (quarrel,quarrels,quarrelled,quarreled,quarrelling,quarreling) (Verb)
quarrel (quarrel,quarrels,quarrel's,quarrels') (Noun)
quarter (quarter,quarters,quartered,quartering) (Verb)
quarter (quarter) (Adjective)
quarter (quarter,quarters,quarter's,quarters') (Noun)
queen (queen,queens,queened,queening) (Verb)
queen (queen,queens,queen's,queens') (Noun)
queer (queer,queers,queered,queering) (Verb)
queer (queer,queerer,queerest) (Adverb)
queer (queer,queerer,queerest) (Adjective)
queer (queer,queers,queer's,queers') (Noun)
quest (quest,quests,quested,questing) (Verb)
quest (quest,quests,quest's,quests') (Noun)
question (question,questions,questioned,questioning) (Verb)
question (question,questions,question's,questions') (Noun)
quick (quick,quicker,quickest) (Adverb)
quick (quick,quicker,quickest) (Adjective)
quick (quick,quicks,quick's,quicks') (Noun)
quiet (quiet,quiets,quieted,quieting) (Verb)
quiet (quiet,quieter,quietest) (Adverb)
quiet (quiet,quieter,quietest) (Adjective)
quiet (quiet,quiets,quiet's,quiets') (Noun)
quill (quill,quills,quill's,quills') (Noun)
quite (quite) (Adverb)
quiver (quiver,quivers,quivered,quivering) (Verb)
quiver (quiver,quivers,quiver's,quivers') (Noun)
rabbit (rabbit,rabbits,rabbit's,rabbits') (Noun)
race (race,races,raced,racing) (Verb)
race (race,races,race's,races') (Noun)
rack (rack,racks,racked,racking) (Verb)
rack (rack,racks,rack's,racks') (Noun)
radio (radio,radios,radioed,radioing) (Verb)
radio (radio) (Adjective)
radio (radio,radios,radio's,radios') (Noun)
raft (raft,rafts,rafted,rafting) (Verb)
raft (raft,rafts,raft's,rafts') (Noun)
rag (rag,rags,ragged,ragging) (Verb)
rag (rag,rags,rag's,rags') (Noun)
rage (rage,rages,raged,raging) (Verb)
rage (rage,rages,rage's,rages') (Noun)
rail (rail,rails,railed,railing) (Verb)
rail (rail,rails,rail's,rails') (Noun)
rain (rain,rains,rained,raining) (Verb)
rain (rain,rains,rain's,rains') (Noun)
raise (raise,raises,raised,raising) (Verb)
raise (raise,raises,raise's,raises') (Noun)
range (range,ranges,ranged,ranging) (Verb)
range (range,ranges,range's,ranges') (Noun)
rank (rank,ranks,ranked,ranking) (Verb)
rank (rank,ranker,rankest) (Adjective)
rank (rank,ranks,rank's,ranks') (Noun)
rapid (rapid) (Adjective)
rapid (rapid,rapids,rapid's,rapids') (Noun)
rare (rare,rarer,rarest) (Adverb)
rare (rare,rarer,rarest) (Adjective)
rat (rat,rats,ratted,ratting) (Verb)
rat (rat,rats,rat's,rats') (Noun)
rate (rate,rates,rated,rating) (Verb)
rate (rate,rates,rate's,rates') (Noun)
rather (rather) (Adverb)
rattle (rattle,rattles,rattled,rattling) (Verb)
rattle (rattle,rattles,rattle's,rattles') (Noun)
ray (ray,rays,rayed,raying) (Verb)
ray (ray,rays,ray's,rays') (Noun)
ray (ray,ray's) (Noun)
reach (reach,reaches,reached,reaching) (Verb)
reach (reach,reaches,reach's,reaches') (Noun)
read (read,reads,reading) (Verb)
read (read) (Adjective)
reader (reader,readers,reader's,readers') (Noun)
ready (ready,readies,readied,readying) (Verb)
ready (ready,readier,readiest) (Adjective)
real (real) (Adverb)
real (real) (Adjective)
real (real,reals,real's,reals') (Noun)
reality (reality,realities,reality's,realities') (Noun)
realize (realize,realizes,realized,realizing) (Verb)
realm (realm,realms,realm's,realms') (Noun)
rear (rear,rears,reared,rearing) (Verb)
rear (rear) (Adverb)
rear (rear) (Adjective)
rear (rear,rears,rear's,rears') (Noun)
reason (reason,reasons,reasoned,reasoning) (Verb)
reason (reason,reasons,reason's,reasons') (Noun)
reasonable (reasonable) (Adjective)
recall (recall,recalls,recalled,recalling) (Verb)
recall (recall,recalls,recall's,recalls') (Noun)
receive (receive,receives,received,receiving) (Verb)
recent (recent) (Adjective)
reckon (reckon,reckons,reckoned,reckoning) (Verb)
recognize (recognize,recognizes,recognized,recognizing) (Verb)
recollect (recollect,recollects,recollected,recollecting) (Verb)
recollection (recollection,recollections,recollection's,recollections') (Noun)
record (record,records,recorded,recording) (Verb)
record (record) (Adjective)
record (record,records,record's,records') (Noun)
recover (recover,recovers,recovered,recovering) (Verb)
reduce (reduce,reduces,reduced,reducing) (Verb)
reef (reef,reefs,reef's,reefs') (Noun)
refer (refer,refers,referred,referring) (Verb)
reference (reference,references,referenced,referencing) (Verb)
reference (reference,references,reference's,references') (Noun)
reflect (reflect,reflects,reflected,reflecting) (Verb)
reflection (reflection,reflections,reflection's,reflections') (Noun)
refresh (refresh,refreshes,refreshed,refreshing) (Verb)
refuse (refuse,refuses,refused,refusing) (Verb)
refuse (refuse) (Adjective)
refuse (refuse,refuse's) (Noun)
regard (regard,regards,regarded,regarding) (Verb)
regard (regard,regards,regard's,regards') (Noun)
region (region,regions,region's,regions') (Noun)
regret (regret,regrets,regretted,regretting) (Verb)
regret (regret,regrets,regret's,regrets') (Noun)
regular (regular) (Adjective)
regular (regular,regulars,regular's,regulars') (Noun)
relate (relate,relates,related,relating) (Verb)
relation (relation,relations,relation's,relations') (Noun)
relative (relative) (Adjective)
relative (relative,relatives,relative's,relatives') (Noun)
relax (relax,relaxes,relaxed,relaxing) (Verb)
release (release,releases,released,releasing) (Verb)
release (release,releases,release's,releases') (Noun)
relief (relief,reliefs,relief's,reliefs') (Noun)
relieve (relieve,relieves,relieved,relieving) (Verb)
reluctant (reluctant) (Adjective)
remain (remain,remains,remained,remaining) (Verb)
remark (remark,remarks,remarked,remarking) (Verb)
remark (remark,remarks,remark's,remarks') (Noun)
remarkable (remarkable) (Adjective)
remember (remember,remembers,remembered,remembering) (Verb)
remembrance (remembrance,remembrances,remembrance's,remembrances') (Noun)
remind (remind,reminds,reminded,reminding) (Verb)
remote (remote,remoter,remotest) (Adjective)
remove (remove,removes,removed,removing) (Verb)
remove (remove,removes,remove's,removes') (Noun)
render (render,renders,rendered,rendering) (Verb)
rend (rend,rends,rent,rended,rending) (Verb)
rent (rent,rents,rented,renting) (Verb)
rent (rent) (Adjective)
rent (rent,rents,rent's,rents') (Noun)
rep (rep) (Adjective)
rep (rep,reps,rep's,reps') (Noun)
rep (rep,rep's) (Noun)
repair (repair,repairs,repaired,repairing) (Verb)
repair (repair,repairs,repair's,repairs') (Noun)
repeat (repeat,repeats,repeated,repeating) (Verb)
repeat (repeat,repeats,repeat's,repeats') (Noun)
replace (replace,replaces,replaced,replacing) (Verb)
reply (reply,replies,replied,replying) (Verb)
reply (reply,replies,reply's,replies') (Noun)
report (report,reports,reported,reporting) (Verb)
report (report,reports,report's,reports') (Noun)
represent (represent,represents,represented,representing) (Verb)
request (request,requests,requested,requesting) (Verb)
request (request,requests,request's,requests') (Noun)
require (require,requires,required,requiring) (Verb)
rescue (rescue,rescues,rescued,rescuing) (Verb)
rescue (rescue,rescues,rescue's,rescues') (Noun)
research (research,researches,researched,researching) (Verb)
research (research,research's) (Noun)
reserve (reserve,reserves,reserved,reserving) (Verb)
reserve (reserve) (Adjective)
reserve (reserve,reserves,reserve's,reserves') (Noun)
resist (resist,resists,resisted,resisting) (Verb)
resolution (resolution,resolutions,resolution's,resolutions') (Noun)
resolve (resolve,resolves,resolved,resolving) (Verb)
resolve (resolve,resolves,resolve's,resolves') (Noun)
respect (respect,respects,respected,respecting) (Verb)
respect (respect,respects,respect's,respects') (Noun)
respectable (respectable) (Adjective)
respond (respond,responds,responded,responding) (Verb)
response (response,responses,response's,responses') (Noun)
rest (rest,rests,rested,resting) (Verb)
rest (rest,rests,rest's,rests') (Noun)
restless (restless) (Adjective)
restore (restore,restores,restored,restoring) (Verb)
result (result,results,resulted,resulting) (Verb)
result (result,results,result's,results') (Noun)
resume (resume,resumes,resumed,resuming) (Verb)
resume (resume,resumes,resume's,resumes') (Noun)
retire (retire,retires,retired,retiring) (Verb)
retreat (retreat,retreats,retreated,retreating) (Verb)
retreat (retreat,retreats,retreat's,retreats') (Noun)
return (return,returns,returned,returning) (Verb)
return (return) (Adjective)
return (return,returns,return's,returns') (Noun)
reveal (reveal,reveals,revealed,revealing) (Verb)
reward (reward,rewards,rewarded,rewarding) (Verb)
reward (reward,rewards,reward's,rewards') (Noun)
rib (rib,ribs,ribbed,ribbing) (Verb)
rib (rib,ribs,rib's,ribs') (Noun)
rich (rich,richer,richest) (Adjective)
rich (rich,rich's) (Noun)
rid (rid) (Adjective)
rid (rid,rids,ridded,ridding) (Verb)
riddle (riddle,riddles,riddled,riddling) (Verb)
riddle (riddle,riddles,riddle's,riddles') (Noun)
ride (ride,rides,rode,ridden,riding) (Verb)
ride (ride,rides,ride's,rides') (Noun)
rider (rider,riders,rider's,riders') (Noun)
ridge (ridge,ridges,ridged,ridging) (Verb)
ridge (ridge,ridges,ridge's,ridges') (Noun)
ridiculous (ridiculous) (Adjective)
rifle (rifle,rifles,rifled,rifling) (Verb)
rifle (rifle,rifles,rifle's,rifles') (Noun)
right (right,rights,righted,righting) (Verb)
right (right) (Adverb)
right (right,righter,rightest) (Adjective)
right (right,rights,right's,rights') (Noun)
rim (rim,rims,rimmed,rimming) (Verb)
rim (rim,rims,rim's,rims') (Noun)
ring (ring,rings,ringed,ringing) (Verb)
ring (ring,rings,rang,rung,ringing) (Verb)
ring (ring,rings,ring's,rings') (Noun)
rip (rip,rips,ripped,ripping) (Verb)
rip (rip,rips,rip's,rips') (Noun)
rise (rise,rises,rose,risen,rising) (Verb)
rise (rise,rises,rise's,rises') (Noun)
risk (risk,risks,risked,risking) (Verb)
risk (risk,risks,risk's,risks') (Noun)
river (river,rivers,river's,rivers') (Noun)
road (road,roads,road's,roads') (Noun)
roar (roar,roars,roared,roaring) (Verb)
roar (roar,roars,roar's,roars') (Noun)
rob (rob,robs,robbed,robbing) (Verb)
robe (robe,robes,robed,robing) (Verb)
robe (robe,robes,robe's,robes') (Noun)
robot (robot,robots,robot's,robots') (Noun)
rock (rock,rocks,rocked,rocking) (Verb)
rock (rock,rocks,rock's,rocks') (Noun)
roger (roger) (Interjection)
roger (roger,roger's) (Noun)
roll (roll,rolls,rolled,rolling) (Verb)
roll (roll,rolls,roll's,rolls') (Noun)
roof (roof,roofs,roofed,roofing) (Verb)
roof (roof,roofs,roof's,roofs') (Noun)
room (room,rooms,roomed,rooming) (Verb)
room (room,rooms,room's,rooms') (Noun)
root (root,roots,rooted,rooting) (Verb)
root (root,roots,root's,roots') (Noun)
rope (rope,ropes,roped,roping) (Verb)
rope (rope,ropes,rope's,ropes') (Noun)
rot (rot,rots,rotted,rotting) (Verb)
rot (rot,rots,rot's,rots') (Noun)
rough (rough,roughs,roughed,roughing) (Verb)
rough (rough,rougher,roughest) (Adjective)
rough (rough,roughs,rough's,roughs') (Noun)
round (round,rounds,rounded,rounding) (Verb)
round (round) (Preposition)
round (round) (Adverb)
round (round,rounder,roundest) (Adjective)
round (round,rounds,round's,rounds') (Noun)
rouse (rouse,rouses,roused,rousing) (Verb)
rouse (rouse,rouses,rouse's,rouses') (Noun)
route (route,routes,routed,routing) (Verb)
route (route,routes,route's,routes') (Noun)
row (row,rows,rowed,rowing) (Verb)
row (row,rows,row's,rows') (Noun)
royal (royal) (Adjective)
royal (royal,royals,royal's,royals') (Noun)
rub (rub,rubs,rubbed,rubbing) (Verb)
rub (rub,rubs,rub's,rubs') (Noun)
rude (rude,ruder,rudest) (Adjective)
ruin (ruin,ruins,ruined,ruining) (Verb)
ruin (ruin,ruins,ruin's,ruins') (Noun)
rule (rule,rules,ruled,ruling) (Verb)
rule (rule,rules,rule's,rules') (Noun)
rumble (rumble,rumbles,rumbled,rumbling) (Verb)
rumble (rumble,rumbles,rumble's,rumbles') (Noun)
run (run,runs,ran,running) (Verb)
run (run) (Adjective)
run (run,runs,run's,runs') (Noun)
rush (rush,rushes,rushed,rushing) (Verb)
rush (rush) (Adjective)
rush (rush,rushes,rush's,rushes') (Noun)
Russian (Russian,Russians,Russian's,Russians') (Noun)
rustle (rustle,rustles,rustled,rustling) (Verb)
rustle (rustle,rustles,rustle's,rustles') (Noun)
rusty (rusty,rustier,rustiest) (Adjective)
sack (sack,sacks,sacked,sacking) (Verb)
sack (sack,sacks,sack's,sacks') (Noun)
sacred (sacred) (Adjective)
sacrifice (sacrifice,sacrifices,sacrificed,sacrificing) (Verb)
sacrifice (sacrifice,sacrifices,sacrifice's,sacrifices') (Noun)
sad (sad,sadder,saddest) (Adjective)
safe (safe,safer,safest) (Adjective)
safe (safe,safes,safe's,safes') (Noun)
safety (safety,safeties,safety's,safeties') (Noun)
sail (sail,sails,sailed,sailing) (Verb)
sail (sail,sails,sail's,sails') (Noun)
sailor (sailor,sailors,sailor's,sailors') (Noun)
saint (saint,saints,saint's,saints') (Noun)
sake (sake,sakes,sake's,sakes') (Noun)
salt (salt,salts,salted,salting) (Verb)
salt (salt) (Adjective)
salt (salt,salts,salt's,salts') (Noun)
salute (salute,salutes,saluted,saluting) (Verb)
salute (salute,salutes,salute's,salutes') (Noun)
Sam (Sam,Sam's) (Noun)
same (same) (Pronoun)
same (same) (Adverb)
same (same) (Adjective)
sand (sand,sands,sanded,sanding) (Verb)
sand (sand,sands,sand's,sands') (Noun)
satisfaction (satisfaction,satisfactions,satisfaction's,satisfactions') (Noun)
satisfy (satisfy,satisfies,satisfied,satisfying) (Verb)
Saturday (Saturday,Saturdays,Saturday's,Saturdays') (Noun)
savage (savage,savages,savaged,savaging) (Verb)
savage (savage) (Adjective)
savage (savage,savages,savage's,savages') (Noun)
save (save,saves,saved,saving) (Verb)
save (save) (Conjunction)
save (save) (Preposition)
save (save,saves,save's,saves') (Noun)
say (say,says,said,saying) (Verb)
say (say) (Adverb)
say (say,say's) (Noun)
scale (scale,scales,scaled,scaling) (Verb)
scale (scale) (Adjective)
scale (scale,scales,scale's,scales') (Noun)
scar (scar,scars,scarred,scarring) (Verb)
scar (scar,scars,scar's,scars') (Noun)
scarce (scarce) (Adverb)
scarce (scarce,scarcer,scarcest) (Adjective)
scarlet (scarlet) (Adjective)
scarlet (scarlet,scarlets,scarlet's,scarlets') (Noun)
scatter (scatter,scatters,scattered,scattering) (Verb)
scatter (scatter,scatters,scatter's,scatters') (Noun)
scene (scene,scenes,scene's,scenes') (Noun)
scent (scent,scents,scented,scenting) (Verb)
scent (scent,scents,scent's,scents') (Noun)
scheme (scheme,schemes,schemed,scheming) (Verb)
